INFO:__main__:data(obj_name='.pytest_cache', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='data', ext='csv', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='data', ext='json', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='data', ext='pickle', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ1', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ10', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ11', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ12', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ13', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ14', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ15', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ2', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ3', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ4', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ5', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ6', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ7', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ8', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='DZ9', ext='', flag='DIR', parrent_dir='Py')
INFO:__main__:data(obj_name='log_dz1', ext='txt', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='log_dz2', ext='txt', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='members', ext='csv', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='ops_list', ext='txt', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='roots', ext='json', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='s8t1', ext='json', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='s8t1', ext='pickle', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='s8t2', ext='json', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='s8t2', ext='pickle', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='s8t3', ext='csv', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='s8t4', ext='json', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='s8t6', ext='csv', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='t1', ext='txt', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='t2', ext='txt', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='t3', ext='txt', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='tmp', ext='py', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='tmp2', ext='py', flag='file', parrent_dir='Py')
INFO:__main__:data(obj_name='total_score', ext='txt', flag='file', parrent_dir='Py')
